<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260505;164900;32775;32797;32775;32793;328
SBRF;1;20260505;165000;32793;32822;32793;32822;776
SBRF;1;20260505;165100;32822;32824;32821;32822;112
SBRF;1;20260505;165200;32823;32824;32819;32823;232
SBRF;1;20260505;165300;32823;32844;32817;32833;749
SBRF;1;20260505;165400;32838;32845;32818;32818;318
SBRF;1;20260505;165500;32821;32839;32821;32831;160
SBRF;1;20260505;165600;32824;32835;32824;32835;62
SBRF;1;20260505;165700;32838;32840;32828;32839;192
SBRF;1;20260505;165800;32833;32837;32830;32830;29
SBRF;1;20260505;165900;32826;32833;32823;32829;47
SBRF;1;20260505;170000;32829;32840;32826;32834;220
SBRF;1;20260505;170100;32834;32834;32826;32828;203
SBRF;1;20260505;170200;32831;32834;32829;32833;11
SBRF;1;20260505;170300;32834;32840;32834;32840;134
SBRF;1;20260505;170400;32839;32839;32836;32836;44
SBRF;1;20260505;170500;32837;32840;32837;32840;76
SBRF;1;20260505;170600;32837;32837;32828;32834;70
SBRF;1;20260505;170700;32839;32839;32831;32832;19
SBRF;1;20260505;170800;32832;32845;32832;32837;304
SBRF;1;20260505;170900;32839;32845;32828;32833;118
SBRF;1;20260505;171000;32833;32840;32833;32838;20
SBRF;1;20260505;171100;32834;32846;32833;32833;78
SBRF;1;20260505;171200;32833;32833;32826;32826;208
